experiment_parameter,experiment_value,run,population_size,generations,mutation_rate,tournament_size,elite_size,crossover_type,best_generation,total_cost,skill_mismatch_cost,overtime_cost,imbalance_cost,proficiency_cost,priority_cost,execution_time
crossover_type,two_points,22,200,500,5,7,4,two_points,468,101.44,0,0,23.7,27.7,50.04,7.852
crossover_type,two_points,23,200,500,5,7,4,two_points,491,130.6,0,20,25.3,27.7,57.6,7.931
crossover_type,two_points,24,200,500,5,7,4,two_points,430,102.52,0,5,25.4,27.3,44.82,7.733
crossover_type,two_points,25,200,500,5,7,4,two_points,480,102.72,0,0,25.5,27.6,49.62,7.719
crossover_type,two_points,26,200,500,5,7,4,two_points,493,92.94,0,0,21.5,26.8,44.64,7.836
crossover_type,two_points,27,200,500,5,7,4,two_points,493,127.3,0,5,34.7,29.7,57.9,7.703
crossover_type,two_points,28,200,500,5,7,4,two_points,481,105.82,0,5,24.7,27.7,48.42,7.653
crossover_type,two_points,29,200,500,5,7,4,two_points,465,113.5,0,15,23.3,28.7,46.5,7.856
crossover_type,two_points,30,200,500,5,7,4,two_points,493,86.34,0,0,21.6,26.7,38.04,7.98
crossover_type,uniform,1,200,500,5,7,4,uniform,490,135.94,0,15,34.4,26.6,59.94,8.02
crossover_type,uniform,2,200,500,5,7,4,uniform,482,97.36,0,0,21.6,27.4,48.36,7.71
crossover_type,uniform,3,200,500,5,7,4,uniform,394,103.92,0,5,22.6,27.3,49.02,7.881
crossover_type,uniform,4,200,500,5,7,4,uniform,496,92.76,0,0,21.6,28.2,42.96,8.284
crossover_type,uniform,5,200,500,5,7,4,uniform,486,111.84,0,0,24.7,27.5,59.64,7.908
crossover_type,uniform,6,200,500,5,7,4,uniform,492,93.66,0,0,22.5,28.2,42.96,7.936
crossover_type,uniform,7,200,500,5,7,4,uniform,451,119.76,0,15,24.5,27.7,52.56,7.825
crossover_type,uniform,8,200,500,5,7,4,uniform,480,115.96,0,5,27.5,29.7,53.76,7.727
crossover_type,uniform,9,200,500,5,7,4,uniform,479,118.58,0,15,24.4,28.9,50.28,7.611
crossover_type,uniform,10,200,500,5,7,4,uniform,473,103.5,0,0,22.6,28.4,52.5,7.595
crossover_type,uniform,11,200,500,5,7,4,uniform,460,94.92,0,0,22.9,28.7,43.32,7.745
